CRASH DATE,CRASH TIME,ZIP CODE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2021-01-01,1900-01-01 04:51:00,11212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 16:14:00,11237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,9,9,9,7
2021-01-01,1900-01-01 06:15:00,11222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,9,9,9,7
2021-01-01,1900-01-01 17:25:00,10019.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,10,6,4,2,3,6,9,9,7
2021-01-01,1900-01-01 00:25:00,11105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,6,4,2,3,9,9,9,7
2021-01-01,1900-01-01 10:00:00,11230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,4,2,3,3,3,9,7
2021-01-01,1900-01-01 16:25:00,11358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,3,9,7
2021-01-01,1900-01-01 20:35:00,11212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 02:45:00,10027.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,10,6,4,2,6,1,9,9,7
2021-01-01,1900-01-01 01:02:00,10029.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,6,9,9,9,7
2021-01-01,1900-01-01 15:00:00,10456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 12:30:00,10306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 04:08:00,11211.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 08:50:00,11235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,9,9,9,9,7
2021-01-01,1900-01-01 00:39:00,11236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,3,3,3
2021-01-01,1900-01-01 01:50:00,11221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 22:31:00,10462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 02:58:00,10457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10,6,4,2,3,9,9,9,7
2021-01-01,1900-01-01 18:30:00,11102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,5,5,9,9,7
2021-01-01,1900-01-01 04:02:00,11221.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,10,6,4,2,0,9,9,9,7
2021-01-01,1900-01-01 19:50:00,10032.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,10,6,4,2,3,6,9,9,7
2021-01-01,1900-01-01 14:22:00,11234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 06:33:00,10304.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,10,6,4,2,3,9,9,9,7
2021-01-01,1900-01-01 05:25:00,11368.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,9,9,9,9,7
2021-01-01,1900-01-01 13:10:00,11211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,7,3,9,9,7
2021-01-01,1900-01-01 21:06:00,10027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 00:13:00,11208.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 06:45:00,10017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 19:55:00,10021.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 18:41:00,11217.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,10,6,4,2,3,9,9,9,7
2021-01-01,1900-01-01 00:30:00,11213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,9,9,9,7
2021-01-01,1900-01-01 03:00:00,11208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 20:25:00,10472.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,9,9,9,7
2021-01-01,1900-01-01 09:58:00,10027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 02:21:00,11423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,3,9,7
2021-01-01,1900-01-01 14:45:00,11422.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 19:27:00,10458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,9,9,9,7
2021-01-01,1900-01-01 16:25:00,10018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,9,9,9,7
2021-01-01,1900-01-01 04:50:00,11368.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 03:15:00,11434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,3,9,7
2021-01-01,1900-01-01 11:45:00,10472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,6,4,2,3,9,9,9,7
2021-01-01,1900-01-01 01:12:00,10019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,0,9,9,7
2021-01-01,1900-01-01 03:50:00,10002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 06:20:00,11203.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,10,6,4,2,3,3,3,9,7
2021-01-01,1900-01-01 00:45:00,11220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,9,9,9,7
2021-01-01,1900-01-01 04:10:00,11216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 21:13:00,10312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 05:10:00,11212.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,10,6,4,2,6,3,3,3,3
2021-01-01,1900-01-01 16:30:00,11216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 02:00:00,11417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,6,4,2,3,3,3,3,7
2021-01-01,1900-01-01 00:00:00,11203.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 18:30:00,11207.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,4,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 10:00:00,11211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,9,9,9,7
2021-01-01,1900-01-01 10:38:00,10463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 19:59:00,11432.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,9,9,9,9,7
2021-01-01,1900-01-01 10:10:00,10460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,9,9,7
2021-01-01,1900-01-01 02:35:00,11222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,3,3,9,7
2021-01-01,1900-01-01 08:00:00,11208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,9,3,9,9,7
2021-01-01,1900-01-01 18:00:00,11103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,6,4,2,3,9,3,9,7
2021-01-01,1900-01-01 01:40:00,11206.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,10,6,4,2,3,9,9,9,7
