iter	Passed	Remaining
0	192	19070
1	216	10587
2	239	7737
3	260	6260
4	282	5369
5	304	4762
6	326	4335
7	347	3997
8	368	3728
9	389	3504
10	410	3323
11	431	3166
12	452	3025
13	472	2900
14	492	2792
15	512	2693
16	533	2603
17	552	2517
18	573	2442
19	602	2409
20	627	2359
21	658	2333
22	684	2290
23	705	2233
24	724	2174
25	745	2122
26	764	2067
27	783	2015
28	802	1965
29	822	1918
30	843	1878
31	863	1834
32	881	1789
33	899	1746
34	917	1704
35	936	1665
36	956	1628
37	974	1589
38	991	1550
39	1009	1514
40	1027	1478
41	1045	1443
42	1062	1407
43	1079	1373
44	1098	1342
45	1117	1312
46	1133	1278
47	1150	1246
48	1167	1215
49	1185	1185
50	1201	1154
51	1218	1125
52	1235	1095
53	1251	1065
54	1268	1037
55	1284	1009
56	1302	982
57	1319	955
58	1337	929
59	1353	902
60	1369	875
61	1382	847
62	1400	822
63	1416	796
64	1432	771
65	1445	744
66	1458	718
67	1472	692
68	1486	667
69	1502	643
70	1519	620
71	1535	597
72	1551	573
73	1564	549
74	1580	526
75	1593	503
76	1610	481
77	1626	458
78	1643	436
79	1656	414
80	1673	392
81	1686	370
82	1702	348
83	1713	326
84	1730	305
85	1747	284
86	1760	263
87	1778	242
88	1795	221
89	1812	201
90	1829	180
91	1842	160
92	1860	140
93	1873	119
94	1890	99
95	1902	79
96	1914	59
97	1931	39
98	1949	19
99	1967	0
